solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_15_6,season,0.382669003718081,-3086854.31084682,-0.0187020678532449,-33552.764248335,-0.0106083792105721,-3086854.31084682,-0.0187020678532449,-33552.764248335,-0.0106083792105721,FALSE,,,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,,,,,,,,,
1_15_6,trend,0.236059877194585,65597852.3707407,0.397432260328534,713020.134464573,0.225435612851141,65597852.3707407,0.397432260328534,713020.134464573,0.225435612851141,TRUE,,,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,,,,,,,,,
1_15_6,tv_S,577746.877463027,4908322.7125443,0.0297376471876459,53351.3338320033,0.0168680939814906,4908322.7125443,0.0297376471876459,53351.3338320033,0.0168680939814906,TRUE,0.311135800761756,0.329444160955135,0,0.0578055678393479,0.304914182208385,0.935922745516166,266561.544311441,6,15,1,1,90,2,10247935.1,256198.3775,0.311135800761756,0.329444160955135,0.214729544358183,0.478957240131654,2.08786905429204,55013.3608658808,0.365309202250501
1_16_2,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,,,,,,,,,
1_16_2,competitor_sales_B,0.149469223720947,73159933.2607588,0.443163450224119,795216.665877814,0.252930004848379,73159933.2607588,0.443163450224119,795216.665877814,0.252930004848379,TRUE,,,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,,,,,,,,,
1_16_2,events,0.918585371026178,1122292.15721819,0.0067982410916038,1122292.15721819,0.356961030806804,1122292.15721819,0.0067982410916038,1122292.15721819,0.356961030806804,TRUE,,,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,,,,,,,,,
1_16_2,facebook_I,2605.90890351547,24561.4902283382,0.000148780271756681,266.972719873242,8.49144820894629e-05,24561.4902283382,0.000148780271756681,266.972719873242,8.49144820894629e-05,TRUE,0.181827675117088,0.00142337193936031,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,5988890.41190929,136111.145725211,0.181827675117088,0.00142337193936031,0.0037006800203531,0.00410117543301446,243.832534436348,503.703797532659,1.46114891776961e-05
1_16_2,holiday,1.02402812712965,4639046.01045079,0.0281008407759513,289940.375653174,0.0922196726583272,4639046.01045079,0.0281008407759513,289940.375653174,0.0922196726583272,TRUE,,,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,,,,,,,,,
1_16_2,newsletter,277892.639602345,7229027.61523727,0.0437895536114758,78576.3871221443,0.0249923408657859,7229027.61523727,0.0437895536114758,78576.3871221443,0.0249923408657859,TRUE,,,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,,,,,,,,,
1_16_2,ooh_S,238757.947414055,3229825.80845473,0.0195645442129653,35106.8022658123,0.0111662192812586,3229825.80845473,0.0195645442129653,35106.8022658123,0.0111662192812586,TRUE,0.310911157955088,0.187172821438662,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,10240536,262577.846153846,0.310911157955088,0.187172821438662,0.250948511412163,0.31539616758876,3.17061557102965,65893.5196221197,0.229368907617754
1_16_2,print_S,338163.067917984,4692445.59633669,0.0284243066905167,51004.8434384423,0.016222818071771,4692445.59633669,0.0284243066905167,51004.8434384423,0.016222818071771,TRUE,0.0848043521333921,0.271933637849645,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,2793216,77589.3333333333,0.0848043521333921,0.271933637849645,1.46093882286599,1.67994369083404,0.595258046716751,113353.269306957,1.04902836482506
1_16_2,search_clicks_P,75397.9466185537,2666499.61367631,0.0161522176982617,28983.6914530034,0.00921867653721745,2666499.61367631,0.0161522176982617,28983.6914530034,0.00921867653721745,TRUE,0.111321014032676,0.15452729826804,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,3666600,47618.1818181818,0.111321014032676,0.15452729826804,0.655949289267073,0.727240389918812,1.37506114052829,31235.1125198266,0.214468620604748
1_16_2,season,0.377116807141053,-3042066.7221685,-0.0184272008505409,-33065.9426322663,-0.0105170947606629,-3042066.7221685,-0.0184272008505409,-33065.9426322663,-0.0105170947606629,FALSE,,,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,,,,,,,,,
1_16_2,trend,0.232906549742862,64721585.2510887,0.392048485359012,703495.491859659,0.223756776991664,64721585.2510887,0.392048485359012,703495.491859659,0.223756776991664,TRUE,,,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,,,,,,,,,
1_16_2,tv_S,808480.617177675,6642515.76900468,0.0402367809148778,72201.2583587466,0.0229646402173654,6642515.76900468,0.0402367809148778,72201.2583587466,0.0229646402173654,TRUE,0.311135800761756,0.384942870504292,0,0.0587317175005097,0.300314043366232,0.933853030163159,292550.965809729,2,16,1,1,92,3,10247935.1,256198.3775,0.311135800761756,0.384942870504292,0.312098782816211,0.648180897340449,1.54277919035118,79959.2017772381,0.412112933408935
1_16_6,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,,,,,,,,,
1_16_6,competitor_sales_B,0.146358513663085,71637349.9853442,0.434071033452355,778666.847666785,0.250139650645556,71637349.9853442,0.434071033452355,778666.847666785,0.250139650645556,TRUE,,,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,,,,,,,,,
1_16_6,events,0.907270851354929,1108468.51372216,0.00671652529580184,1108468.51372216,0.356085439626566,1108468.51372216,0.00671652529580184,1108468.51372216,0.356085439626566,TRUE,,,0,0.0599933386053846,0.196210825099684,0.930980689934982,321074.323819979,6,16,1,1,96,3,,,,,,,,,
